question,answer,answer_relevancy,faithfulness
1급 감염병의 발생으로 인하여 항공사가 불가피하게 예약된 탑승권을 모두 취소하였다. 이 때 해당 항공사는 탑승 예정이던 승객들에게 변상을 할 의무가 있는가?,"1급 감염병의 발생으로 인해 항공사가 예약된 탑승권을 모두 취소한 경우, 해당 항공사는 승객들에게 변상을 할 의무가 있습니다. 

주어진 문서에 따르면, 감염병 발생으로 인해 항공사가 계약내용 변경 또는 계약해제를 요청한 경우, 다음과 같은 규정이 적용됩니다:

- 계약해제 시 취소수수료 없이 항공운임 전액 환급이 이루어집니다.

따라서, 항공사가 불가피하게 예약된 탑승권을 취소한 경우, 승객들은 항공운임의 전액을 환급받을 수 있습니다.",0.847908375038505,0.5
2025년 05월 부터 냉장고 대여를 개시하였다. 하지만 실제 요금 청구는 2025년 04월 부터 청구되었다. 이 때 소비자는 04월에 청구된 요금을 반환받을 수 있는가?,"소비자는 2025년 04월에 청구된 요금을 반환받을 수 있습니다. 계약에 따라 대여 서비스가 2025년 05월부터 시작되었으므로, 04월에 청구된 요금은 부당한 청구로 간주될 수 있습니다. 소비자는 이러한 부당한 요금에 대해 반환을 요구할 수 있으며, 사업자는 이를 환급해야 할 의무가 있습니다. 

이와 관련하여 소비자는 계약서나 약관에 명시된 내용을 확인하고, 필요시 사업자에게 환급 요청을 할 수 있습니다.",0.8626959136767377,0.4285714285714285
PT(개인트레이닝) 10회권 구매 후 담당 트레이너가 자격 정지로 배정 불가합니다. 동일 수준 대체 또는 환불 기준은 무엇인가요?,"주어진 상황에서 PT(개인 트레이닝) 10회권을 구매한 후 담당 트레이너가 자격 정지로 인해 배정이 불가능한 경우, 소비자는 다음과 같은 기준에 따라 대체 또는 환불을 요청할 수 있습니다.

1. **대체 트레이너 배정**: 동일 수준의 대체 트레이너가 배정될 수 있는 경우, 사업자는 소비자에게 대체 트레이너를 제공해야 합니다. 이 경우, 소비자는 대체 트레이너와의 수업을 받을 수 있습니다.

2. **환불 기준**: 만약 대체 트레이너 배정이 불가능하거나 소비자가 대체 트레이너를 원하지 않는 경우, 환불이 가능합니다. 환불 금액은 소비자가 이미 사용한 수업 횟수에 따라 계산되어야 하며, 사용하지 않은 수업에 대한 금액이 환급됩니다. 

   - 예를 들어, 10회권 중 3회를 사용했다면, 7회에 해당하는 금액이 환급될 수 있습니다.

이와 같은 경우는 소비자 보호법 및 관련 법령에 따라 소비자의 권리가 보호되므로, 사업자는 적절한 조치를 취해야 합니다. 추가적인 법률적 조언이 필요할 경우, 관련 법령을 참조하여 구체적인 내용을 확인하는 것이 좋습니다.",0.8395030352855182,0.9090909090909092
"가구 배송 시 제품 일부 부속품이 누락되어 사용이 불가능한 경우, 환불이나 보상이 가능한가요?","가구 배송 시 제품 일부 부속품이 누락되어 사용이 불가능한 경우, 소비자는 환불이나 보상을 요청할 수 있습니다. 이 경우, 사업자는 품질보증기간 이내에 정상적인 사용 상태에서 발생한 하자로 간주될 수 있으며, 다음과 같은 조치를 취해야 합니다:

1. **제품 교환**: 누락된 부속품을 포함한 전체 제품을 교환할 수 있습니다.
2. **구입가 환급**: 제품이 사용 불가능한 상태라면, 구입가를 환급받을 수 있습니다.

또한, 만약 사업자가 부품을 보유하고 있지 않거나 수리할 수 없는 경우, 소비자는 구입가에서 정액 감가상각비를 공제한 후 환급받을 수 있습니다. 이 경우, 감가상각 방법은 정액법을 적용하여 계산됩니다.

따라서, 누락된 부속품으로 인해 사용이 불가능한 경우에는 환불이나 보상이 가능하니, 사업자에게 즉시 연락하여 문제를 해결하는 것이 좋습니다.",0.8273347305668359,0.7777777777777778
가맹 피트니스 센터가 폐업하여 이용 불가합니다. 선불권 잔여분 환불과 보증보험 청구 기준은 무엇인가요?,"가맹 피트니스 센터가 폐업하여 이용이 불가능한 경우, 소비자는 선불권 잔여분에 대한 환불을 요청할 수 있습니다. 이와 관련하여 다음과 같은 기준이 적용됩니다.

1. **선불권 잔여분 환불**: 피트니스 센터가 폐업한 경우, 소비자는 계약에 따라 남은 이용권에 대한 환급을 받을 수 있습니다. 소비자는 계약서에 명시된 환급 조건에 따라 환급을 요청할 수 있으며, 일반적으로 사업자의 귀책사유로 인한 계약 해지로 간주되므로, 소비자는 전액 환급을 받을 수 있는 권리가 있습니다.

2. **보증보험 청구 기준**: 피트니스 센터가 폐업한 경우, 소비자는 보증보험을 통해 잔여 이용권에 대한 환급을 청구할 수 있습니다. 보증보험은 소비자가 선불로 지불한 금액을 보호하기 위한 제도로, 사업자가 폐업할 경우 소비자는 보증보험사에 청구하여 환급을 받을 수 있습니다. 이 경우, 소비자는 보증보험의 약관에 따라 필요한 서류를 제출해야 하며, 보증보험사에 직접 문의하여 구체적인 청구 절차를 확인하는 것이 좋습니다.

이와 관련된 법령으로는 '소비자기본법' 및 '방문판매 등에 관한 법률'이 있으며, 소비자는 이러한 법령에 따라 권리를 주장할 수 있습니다.",0.8077073572385564,0.5833333333333334
가을 캠핑장 예약 후 사업자의 일방적 사정으로 2일 전 취소 통보를 받았습니다. 위약금 및 대체 제공 기준은 어떻게 되나요?,"가을 캠핑장 예약 후 사업자의 일방적 사정으로 2일 전 취소 통보를 받은 경우, 사업자의 귀책사유로 인한 계약해제에 해당합니다. 이 경우, 다음과 같은 기준이 적용됩니다:

1. **계약금 환급**: 계약금은 전액 환급됩니다.
2. **총요금의 10% 배상**: 총요금의 10%에 해당하는 금액이 배상됩니다.

따라서, 사업자가 계약을 해제한 경우에는 계약금이 전액 환급되고, 총요금의 10%가 추가로 배상받게 됩니다.",0.8481782508551629,0.0
가입당시 중요사실 미고지한 사실이 확인된 이동통신사에 대해서 가입에 대해서 가입 해지를 요구 할 때 위약금이 발생하나요?,"가입 당시 중요 사실이 미고지된 경우, 소비자는 이동통신 서비스 계약 해지를 요구할 수 있으며, 이 경우 위약금이 발생하지 않을 수 있습니다. 

제시된 사례에 따르면, 신청인은 이동통신사와의 계약 체결 시 피신청인이 중요 사실을 고지하지 않았다고 주장하며 계약 해지 및 손해배상을 요구하였습니다. 이와 같은 경우, 소비자는 계약의 해지에 따른 위약금이 없음을 인정받을 수 있습니다. 

따라서, 가입 당시 중요 사실이 미고지된 경우에는 위약금이 발생하지 않을 가능성이 높습니다. 다만, 구체적인 상황에 따라 다를 수 있으므로, 계약서의 내용과 관련 법률을 검토하는 것이 중요합니다.",0.0,0.7142857142857143
가전제품 렌탈 계약에 제품 관리 조항까지 있었음에도 불구하구 렌탈업체의 제품관리 부실 이행으로 계약 해지 하는데 위약금 면제가 되나요?,"가전제품 렌탈 계약에서 제품 관리 조항이 포함되어 있고, 렌탈업체의 제품 관리 부실로 인해 계약을 해지하는 경우, 위약금 면제가 가능합니다. 

제11조(계약의 해지) 가항에 따르면, 상품의 하자보수 불이행 또는 관리의무 해태 등 회사의 귀책사유가 있는 경우 고객은 상당한 기간을 정하여 이행을 최고하고, 회사가 이행하지 않을 경우 위약금을 부담하지 않고 계약을 해지할 수 있습니다. 따라서, 렌탈업체의 관리 부실이 고객의 계약 해지 사유가 된다면 위약금 면제가 가능하다고 볼 수 있습니다. 

이와 관련된 구체적인 사례가 필요하시면 말씀해 주세요.",0.0,0.8333333333333334
"개인 사업장에 인터넷통신망과 자동결제시스템을 설치하였다. 하지만 인터넷통신망 마비로 인하여, 8시간동안 영업을 하지 못하였다. 이 때 소비자는 손해배상을 신청할 수 있는가?","주어진 상황에서 소비자는 손해배상을 신청할 수 있습니다. 

인터넷통신망의 마비로 인해 8시간 동안 영업을 하지 못한 경우, 이는 서비스 중지 또는 장애로 인한 피해에 해당합니다. 만약 사전 고지가 없었다면, 소비자는 손해배상을 청구할 수 있는 권리가 있습니다. 

손해배상액은 서비스 중지 또는 장애 시간에 대해 최근 3개월(3개월 미만인 경우 해당 기간)의 1일 평균요금을 24로 나눈 요금에 서비스 제공 중지 또는 장애 시간을 곱하여 산출한 금액의 10배로 계산됩니다. 

따라서, 소비자는 손해배상을 신청할 수 있으며, 구체적인 금액은 위의 계산 방법에 따라 산출해야 합니다.",0.8312042250800706,1.0
"개인 카페 맴버쉽 등록 시 개인정보를 입력하였는데, 해당 개인정보가 등록 카페 외에 다른 곳에 동의없이 공유되었을 때, 손해배상 요구가 가능한가요?","개인 카페 맴버쉽 등록 시 입력한 개인정보가 등록 카페 외에 다른 곳에 동의 없이 공유되었다면, 손해배상 요구가 가능합니다. 이는 개인정보 보호법에 따라 개인정보는 정보주체의 동의가 있거나 수집 목적 범위 내에서만 제3자에게 제공될 수 있기 때문입니다.

제시된 사례에서도 신청인의 개인정보가 동의 없이 다른 가맹점에 공유되어 정신적 피해를 입었다고 판단되어 손해배상이 이루어진 바 있습니다. 따라서, 귀하의 경우에도 개인정보가 무단으로 공유되어 피해를 입었다면, 해당 카페에 대해 손해배상을 요구할 수 있습니다. 

이때, 손해배상 요구는 개인정보 보호법 제39조에 따라 정신적 피해에 대한 위자료 청구로 진행될 수 있습니다.",0.8750308579023457,0.6666666666666666
